gdp_usd,gdp_per_capita,Population,Life.Expectancy.at.Birth..Both.Sexes,Total.Fertility.Rate,box_gdp_ratio,log_gdp,log_pop,box_class
418285000000,56090.27008775499,7457354,81.2,1.4,0.0012747198895489917,11.621472290748374,6.872584759504426,High
441635000000,58824.82221420075,7507630,81.4,1.42,5.781243742004143e-4,11.645063484341911,6.8755028610566775,High
598851000000,75445.82379054757,7937497,82.1,1.46,1.3874996618524474e-4,11.7773187791049,6.899683574157205,High
715888000000,89175.5798066929,8027848,82.5,1.45,4.263157924144559e-5,11.854845082661637,6.9045991409223,Low
706235000000,86752.956726399,8140760,82.6,1.48,1.83606159422855e-4,11.848949236775942,6.9106649513755425,High
726538000000,88465.08502858192,8212709,83,1.52,3.787172453471119e-5,11.861258334062427,6.914486434792101,Low
694118000000,83808.98518656343,8282143,82.8,1.53,9.078866129390104e-5,11.841433306755498,6.918142724786833,High
721369000000,84614.92805662571,8525316,83.7,1.52,7.010844796491116e-5,11.858157475079356,6.930710485554603,High
815309000000,94218.60323647094,8653376,83.6,1.58,1.4316157554988354e-4,11.911322236422846,6.937185574762931,High
828509000000,94965.56174643038,8724310,83.7,1.58,3.164076551974692e-5,11.918297230473048,6.9407310889215,Low
936564000000,105700.14989999519,8860574,83.9,1.59,1.3260720036217494e-5,11.97153746019192,6.947461856983883,Low
242450000000,13886.931907352484,17458860,79.3,1.83,1.1537233656424005e-4,11.384622188451543,7.242015882446699,Low
249345000000,14129.028638843227,17647710,79.6,1.76,1.1942399887705789e-4,11.396800663935247,7.246688358512108,Low
315326000000,16882.795568987625,18677357,78.5,1.27,8.006623938400259e-5,11.498759781693016,7.27131541999224,Low
1223750000000,967.712050785832,1264580718,71.7,1.56,1.7576539325842697e-6,12.087692704811195,9.101946555517653,Low
1355040000000,1065.2338363852382,1272058729,72.1,1.53,5.003903943795017e-6,12.131952115522507,9.104507162485225,Low
1489820000000,1164.9399843104911,1278881333,72.5,1.48,1.1907180531876333e-4,12.173133800137789,9.106830248298643,Low
1984200000000,1536.065102777383,1291742125,73.2,1.55,1.0747234603366596e-4,12.297585445297347,9.111175822585054,Low
2317550000000,1784.573603671605,1298657559,73.6,1.58,5.7533940152316024e-5,12.365029112607193,9.113494647729796,Low
2791500000000,2137.367033345974,1306046157,73.9,1.6600000000000001,7.664841303958446e-5,12.445837632186448,9.115958525619131,Low
3604060000000,2742.998696107899,1313912400,74.2,1.6800000000000002,6.708566339073156e-5,12.556792012454641,9.11856641129316,Low
4667350000000,3530.1078617504495,1322155068,74.5,1.72,1.7381461835945451e-4,12.66907036942367,9.121282394050755,Low
5189580000000,3899.8016968444044,1330729202,74.8,1.71,2.781475745628741e-5,12.715132211208132,9.124089687298508,Low
6192560000000,4624.083041176566,1339197403,75.1,1.6500000000000001,1.3373245685144755e-4,12.791870223177565,9.126844598456934,Low
7671760000000,5692.532952111649,1347688290,75.4,1.7,2.7740264554678456e-5,12.884895008095612,9.129589454820055,Low
8673660000000,6393.073918286971,1356727626,75.8,1.81,4.886036482868824e-5,12.938202394176834,9.132492668294736,Low
9743120000000,7134.05824118059,1365719156,76.2,1.7,1.4940026038886927e-4,12.988698051520041,9.13536140100045,Low
10674500000000,7767.0017467178905,1374339848,76.5,1.71,1.837440980842194e-4,13.028347541558745,9.13809413873589,Low
11280800000000,8160.948565438637,1382290295,76.9,1.58,3.669956343521736e-4,13.052339899582226,9.14059925886838,Low
11456000000000,8241.496775811142,1390038765,77.1,1.6900000000000002,4.626855500174581e-4,13.05903300496378,9.14302691190218,Low
12537600000000,8967.767239100725,1398073753,77.3,1.7,4.5718180576824913e-4,13.098214409978624,9.1455300824798,Low
14147800000000,10073.484538155693,1404459395,77.5,1.47,4.569149947695048e-4,13.150688911793667,9.147509187622784,Low
14560200000000,10335.780453570309,1408718003,77.7,1.3800000000000001,4.90702151344075e-4,13.163167340519589,9.14882406479269,Low
14996400000000,10625.48351577541,1411361655,77.7,1.25,1.656811757488464e-4,13.175987015870342,9.149638313999258,Low
18201700000000,12888.921134618575,1412197329,77.7,1.11,2.4853698242471856e-4,13.260111952058718,9.14989538574419,Low
18316800000000,12978.496702501176,1411319078,77.1,1.09,9.033991958202305e-5,13.262849603407645,9.14962521230062,Low
18270400000000,12964.218986917556,1409294306,77.3,1.06,1.8991985003065067e-4,13.261748055611493,9.149001697243403,Low
18743800000000,13313.020494786286,1407929929,78.5,1.23,1.2992393218024094e-6,13.272857641606844,9.148581041023496,Low
117092000000,2787.052521058858,42012843,73,2.3899999999999997,1.075618317220647e-4,11.068527224068601,7.623382071146066,Low
293492000000,6498.056220102315,45166122,77.3,1.97,9.530761656195058e-5,11.467596267753287,7.654812803284399,Low
334198000000,7160.196098848149,46674420,78.3,1.96,1.984115943243227e-4,11.524003846540129,7.669078929891292,Low
62175642238,6054.7519440251635,10268900,74.9,1.1600000000000001,5.464952636907895e-4,10.793620279972998,7.011523924657067,Low
82607869610,8070.367448098852,10235949,75.4,1.1800000000000002,0.005949585775790351,10.917021422204138,7.010128113374414,High
100436000000,9809.67936678752,10238459,75.4,1.1800000000000002,1.5394186347524792e-4,11.001889408018187,7.010234595491507,Low
120148000000,11725.059704627021,10247112,75.9,1.23,0.0053032562672703665,11.079716545874891,7.010601483031562,High
137264000000,13369.535023342922,10266924,76.1,1.29,7.332763142557407e-4,11.137556650482205,7.011440347207349,High
156236000000,15168.206454439023,10300229,76.6,1.34,7.042409495890832e-4,11.193781111487137,7.012846880271269,High
190041000000,18334.427694680708,10365254,76.9,1.45,0.0010743621639540942,11.278847307020476,7.015579948923542,High
236506000000,22620.399161010115,10455430,77.2,1.51,1.1389713157382899e-4,11.373842162975894,7.01934189873064,Low
206972000000,19677.376664151678,10518272,77.3,1.5,0.0015563515934522544,11.315911596336147,7.021944397374157,High
213024000000,20112.93319840618,10591394,78.2,1.44,4.072729457713685e-4,11.328428535271577,7.0249531240985466,High
210911000000,19892.632545554487,10602468,78.8,1.51,1.993541398978716e-4,11.324099230828727,7.025406970361232,Low
189108000000,17801.44760783046,10623181,78.6,1.56,2.4186026503373733e-4,11.276709901570396,7.026254581141857,Low
221564000000,20762.102332002287,10671559,79,1.6700000000000002,2.841149780650286e-4,11.345499197069728,7.028227869812372,High
251110000000,23296.630463542737,10778812,78.8,1.6900000000000002,2.416104456214408e-4,11.399864008046825,7.03257089718875,High
1966980000000,23933.951842257713,82183670,78,1.37,9.174293815900518e-4,12.293799944091276,7.914785531245155,High
1966380000000,23886.834726543737,82320660,78.3,1.34,8.604968119081764e-4,12.293667448366927,7.915508843693262,High
2102350000000,25495.881772648674,82458415,78.4,1.33,0.0016279748091421505,12.322705019216105,7.916234982619481,High
2534720000000,30722.183668120517,82504552,78.4,1.33,6.852921289136472e-4,12.403929991609731,7.916477910415924,High
2852320000000,34578.93695978973,82487209,79.1,1.35,7.569846815925282e-4,12.455198247139927,7.9163866092602575,High
2893390000000,35097.16717186392,82439417,79.3,1.33,0.0010913147294350225,12.46140697614104,7.916134911848342,High
3046310000000,36993.86168404473,82346364,79.3,1.33,6.690742478605263e-4,12.483774096123778,7.915644427675802,High
3484060000000,42366.1603811235,82236860,79.8,1.37,4.726867855318221e-4,12.542085625510293,7.915066519565753,High
3808790000000,46411.6599536645,82065369,79.6,1.3800000000000001,8.112188296020521e-4,12.580787028225297,7.914159926605995,High
3479800000000,42511.87077837747,81854784,80.1,1.36,3.068625791712167e-4,12.541554283776344,7.913044066815592,High
3468150000000,42423.16873199318,81751319,80.2,1.4,1.2458502198578494e-4,12.540097872761352,7.9124947684246845,Low
3824830000000,46781.607110503886,81759269,80.6,1.37,1.4244036205530704e-4,12.582612137083718,7.912536999832155,High
3597900000000,43950.3013085778,81862920,80.8,1.4,1.308751168737319e-4,12.556049088400382,7.913087231602557,High
3808090000000,46407.93239060268,82056877,80.7,1.41,1.6200013366280734e-4,12.580707203904003,7.914114984145927,High
3965800000000,48142.87681233507,82375634,81.3,1.47,1.7386241212365727e-4,12.598330808435461,7.915798770140967,High
3423570000000,41194.75263101962,83106944,81,1.5,3.80793531313804e-4,12.5344792120932,7.9196373127719415,High
3537780000000,42205.34669535743,83823029,81.4,1.59,1.2687587243977863e-4,12.548730822424263,7.923363350296651,Low
3763090000000,44732.85649225002,84123624,81.5,1.57,1.8593811309322925e-4,12.575544605254747,7.924917973587523,High
